CustomerID,first_order,last_order,orders,revenue,aov,purchase_freq_per_month,tenure_months,CLV_12m,CLV_12m_capped
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,77183.6,30.439999999999998,0.0328515111695138,28193625.408,535875.9878400022
12347.0,2010-12-07 14:57:00,2011-12-07 15:52:00,182,4310.0,23.681318681318682,15.178301369863016,11.990801576872535,4313.306301369864,4313.306301369864
12348.0,2010-12-16 19:09:00,2011-09-25 13:13:00,31,1797.24,57.97548387096774,3.346241134751773,9.264126149802891,2327.9993872340424,2327.9993872340424
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,73,1757.55,24.076027397260273,2222.12,0.0328515111695138,641997.864,535875.9878400022
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,17,334.40000000000003,19.67058823529412,517.48,0.0328515111695138,122149.63200000001,122149.63200000001
12352.0,2011-02-16 12:33:00,2011-11-03 14:37:00,85,2506.04,29.482823529411764,9.951538461538462,8.541392904073588,3520.7934276923074,3520.7934276923074
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,4,89.0,22.25,121.75999999999999,0.0328515111695138,32509.92,32509.92
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1079.4,18.610344827586207,1765.52,0.0328515111695138,394283.232,394283.232
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,13,459.40000000000003,35.338461538461544,395.71999999999997,0.0328515111695138,167809.632,167809.632
12356.0,2011-01-18 09:50:00,2011-11-17 08:40:00,59,2811.43,47.65135593220339,5.946887417218543,9.921156373193167,3400.52698807947,3400.52698807947
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,131,6207.67,47.38679389312977,3987.64,0.0328515111695138,2267537.6976,535875.9878400022
12358.0,2011-07-12 10:04:00,2011-12-08 10:26:00,19,1168.06,61.47684210526315,3.8816107382550333,4.894875164257556,2863.5500456375835,2863.5500456375835
12359.0,2011-01-12 12:43:00,2011-10-13 12:47:00,248,6372.58,25.695887096774193,27.55153284671533,9.00131406044678,8495.532928467153,8495.532928467153
12360.0,2011-05-23 09:43:00,2011-10-18 15:22:00,129,2662.06,20.63612403100775,26.532162162162162,4.862023653088042,6570.251870270269,6570.251870270269
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,10,189.9,18.990000000000002,304.4,0.0328515111695138,69366.672,69366.672
12362.0,2011-02-17 10:30:00,2011-12-06 15:40:00,266,5226.2300000000005,19.64748120300752,27.729589041095892,9.592641261498029,6537.798953424658,6537.798953424658
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,23,552.0,24.0,5.303939393939394,4.336399474375821,1527.5345454545454,1527.5345454545454
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,85,1313.1,15.448235294117646,24.878846153846155,3.416557161629435,4612.011230769231,4612.011230769231
12365.0,2011-02-21 13:51:00,2011-02-21 14:04:00,22,641.38,29.153636363636362,669.68,0.0328515111695138,234283.28639999998,234283.28639999998
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,11,168.9,15.354545454545455,334.84,0.0328515111695138,61695.792,61695.792
