CustomerID,first_order,last_order,orders,revenue,tenure_days,tenure_months,purchase_freq_per_month,aov,CLV_12m,CLV_12m_capped
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,1,0.0328515111695138,30.439999999999998,77183.6,28193625.408,535875.9878400022
12347.0,2010-12-07 14:57:00,2011-12-07 15:52:00,182,4310.0,365,11.990801576872535,15.178301369863016,23.681318681318682,4313.306301369864,4313.306301369864
12348.0,2010-12-16 19:09:00,2011-09-25 13:13:00,31,1797.24,282,9.264126149802891,3.346241134751773,57.97548387096774,2327.9993872340424,2327.9993872340424
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,73,1757.55,1,0.0328515111695138,2222.12,24.076027397260273,641997.864,535875.9878400022
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,17,334.40000000000003,1,0.0328515111695138,517.48,19.67058823529412,122149.63200000001,122149.63200000001
12352.0,2011-02-16 12:33:00,2011-11-03 14:37:00,85,2506.04,260,8.541392904073588,9.951538461538462,29.482823529411764,3520.7934276923074,3520.7934276923074
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,4,89.0,1,0.0328515111695138,121.75999999999999,22.25,32509.92,32509.92
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1079.4,1,0.0328515111695138,1765.52,18.610344827586207,394283.232,394283.232
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,13,459.40000000000003,1,0.0328515111695138,395.71999999999997,35.338461538461544,167809.632,167809.632
12356.0,2011-01-18 09:50:00,2011-11-17 08:40:00,59,2811.43,302,9.921156373193167,5.946887417218543,47.65135593220339,3400.52698807947,3400.52698807947
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,131,6207.67,1,0.0328515111695138,3987.64,47.38679389312977,2267537.6976,535875.9878400022
12358.0,2011-07-12 10:04:00,2011-12-08 10:26:00,19,1168.06,149,4.894875164257556,3.8816107382550333,61.47684210526315,2863.5500456375835,2863.5500456375835
12359.0,2011-01-12 12:43:00,2011-10-13 12:47:00,248,6372.58,274,9.00131406044678,27.55153284671533,25.695887096774193,8495.532928467153,8495.532928467153
12360.0,2011-05-23 09:43:00,2011-10-18 15:22:00,129,2662.06,148,4.862023653088042,26.532162162162162,20.63612403100775,6570.251870270269,6570.251870270269
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,10,189.9,1,0.0328515111695138,304.4,18.990000000000002,69366.672,69366.672
12362.0,2011-02-17 10:30:00,2011-12-06 15:40:00,266,5226.2300000000005,292,9.592641261498029,27.729589041095892,19.64748120300752,6537.798953424658,6537.798953424658
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,23,552.0,132,4.336399474375821,5.303939393939394,24.0,1527.5345454545454,1527.5345454545454
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,85,1313.1,104,3.416557161629435,24.878846153846155,15.448235294117646,4612.011230769231,4612.011230769231
12365.0,2011-02-21 13:51:00,2011-02-21 14:04:00,22,641.38,1,0.0328515111695138,669.68,29.153636363636362,234283.28639999998,234283.28639999998
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,11,168.9,1,0.0328515111695138,334.84,15.354545454545455,61695.792,61695.792
12370.0,2010-12-14 12:58:00,2011-10-19 14:51:00,167,3545.69,309,10.151116951379763,16.45139158576052,21.231676646706585,4191.487518446602,4191.487518446602
12371.0,2011-10-11 10:43:00,2011-10-26 10:16:00,63,1887.96,14,0.45992115637319314,136.98000000000002,29.96761904761905,49259.573485714296,49259.573485714296
12372.0,2011-02-16 12:46:00,2011-09-29 12:12:00,52,1298.04,224,7.35873850197109,7.066428571428572,24.962307692307693,2116.7323714285717,2116.7323714285717
12373.0,2011-02-01 13:10:00,2011-02-01 13:10:00,14,364.6,1,0.0328515111695138,426.15999999999997,26.042857142857144,133181.088,133181.088
12374.0,2011-11-14 15:37:00,2011-11-14 15:37:00,33,742.9300000000001,1,0.0328515111695138,1004.52,22.513030303030305,271377.47040000005,271377.47040000005
12375.0,2011-09-02 14:23:00,2011-11-29 10:36:00,17,457.5,87,2.8580814717477003,5.948045977011494,26.91176470588235,1920.8689655172411,1920.8689655172411
12377.0,2010-12-20 09:37:00,2011-01-28 15:45:00,77,1628.1200000000001,39,1.281208935611038,60.09948717948718,21.144415584415587,15249.2224,15249.2224
12378.0,2011-08-02 10:34:00,2011-08-02 10:34:00,219,4008.62,1,0.0328515111695138,6666.36,18.30420091324201,1464268.7136,535875.9878400022
