CustomerID,total_revenue,orders,first_order,last_order,aov,expected_orders_6m,projected_revenue_6m,clv_6m_total
16446.0,168472.5,2,2011-05-18 09:52:00,2011-12-09 09:15:00,84236.25,3.0743333333333336,258970.31125000003,427442.81125
12346.0,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,3.0743333333333336,237288.1142666667,314471.7142666667
14646.0,280206.02,45,2010-12-20 10:09:00,2011-12-08 12:12:00,3838.4386301369864,3.0743333333333336,11800.639828584475,292006.65982858447
18102.0,259657.3,26,2010-12-07 16:42:00,2011-12-09 11:50:00,4721.041818181818,3.0743333333333336,14514.05622969697,274171.35622969695
17450.0,194550.79,27,2010-12-07 09:23:00,2011-12-01 13:29:00,4229.365,3.0743333333333336,13002.477798333333,207553.26779833334
14911.0,143825.06,132,2010-12-01 14:05:00,2011-12-08 15:54:00,715.5475621890547,3.0743333333333336,2199.8317220232175,146024.89172202323
12415.0,124914.53,16,2011-01-06 11:12:00,2011-11-15 14:22:00,6245.7265,3.0743333333333336,19201.445169833336,144115.97516983334
14156.0,117379.63,43,2010-12-03 11:48:00,2011-11-30 10:54:00,2173.696851851852,3.0743333333333336,6682.6686882098775,124062.29868820988
17511.0,91062.38,28,2010-12-01 10:19:00,2011-12-07 10:12:00,2845.699375,3.0743333333333336,8748.628445208335,99811.00844520834
15749.0,44534.3,2,2011-01-11 12:55:00,2011-04-18 13:20:00,14844.766666666668,3.0743333333333336,45637.7609888889,90172.0609888889
16029.0,81024.84,39,2010-12-01 09:57:00,2011-11-01 10:27:00,1328.2760655737704,3.0743333333333336,4083.563384262295,85108.40338426229
15098.0,39916.5,1,2011-06-10 15:22:00,2011-06-10 15:33:00,13305.5,3.0743333333333336,40905.54216666667,80822.04216666668
14096.0,65164.78999999999,17,2011-08-30 10:49:00,2011-12-05 17:17:00,3833.22294117647,3.0743333333333336,11784.605062156863,76949.39506215685
16684.0,66653.56,16,2010-12-16 17:34:00,2011-12-05 14:06:00,2468.65037037037,3.0743333333333336,7589.454121975309,74243.01412197531
13694.0,65039.62,35,2010-12-01 12:12:00,2011-12-06 09:32:00,1300.7924,3.0743333333333336,3999.069435066667,69038.68943506667
15769.0,56252.72,22,2010-12-03 15:16:00,2011-12-02 13:52:00,2250.1088,3.0743333333333336,6917.584487466667,63170.30448746667
15311.0,60767.9,90,2010-12-01 09:41:00,2011-12-09 12:00:00,667.7791208791209,3.0743333333333336,2052.975610622711,62820.875610622716
17949.0,58510.48,29,2010-12-03 13:12:00,2011-12-08 18:46:00,1300.232888888889,3.0743333333333336,3997.349311407408,62507.82931140741
14088.0,50491.81,12,2011-01-21 13:07:00,2011-11-29 16:16:00,3883.9853846153846,3.0743333333333336,11940.665734102566,62432.47573410256
13089.0,58825.83,66,2010-12-05 10:27:00,2011-12-07 09:02:00,632.5358064516129,3.0743333333333336,1944.6259143010752,60770.45591430108
